text,label
"Ok nmm madali lng napigtas ung sa likod but it can serve its purpose, tahiin ko n lng. hjkkkkggfc. ghjjjjjgfddfjj",1
I' m very disappointing hindi po gumagana Ang powerbank na binili ko dito and hindi konarin mpo marereturn and refund kaya advice ko sa inyo wag po kayo bumili sa shop nato masasayang lang Ang Pera nyo,0
mali yung dumating. order q ay 2liters 1liter lang dumating tapos mali sin yung kulay. pero ok na din napapakinabangan din naman.,0
May yupi lang yung box pero okay naman ang products. Excellent quality tapos ang ganda ng kulay. Wa mabait din ang nagdeliver. Thank you!,1
"ang akala ko square pants. jogger pala. kasi ang nkalagay square pants tapos yung picture hindi jogger, 2 star kasi hindi ako satisfy. salamat parin sa shoppe at kuya rider.",0
maganda naman siya kaso nga lang lumobo naman yung battery niya dati na atang nagagamit kasi lumobo eH. bilis malobat 15 minutes lobat na ang hina pa,1
"Goods naman kaso di ko alam na maliit pala size nila, sa iba kasi size6 ako dito pala dapat size7. Maganda dij yung black na inorder ko.",1
Nagbabyad po ako ng tama pero sira ang binigay ni seller na item. Kung nd niyo kaya gampanan ang trabaho niyo bilang online seller wag na po kayong magtinda d2. Hindi ko po pinulot yung pera sa tabi2x pinagpapawisan ko rin yan at pinagpaguran nsayang lng yung pera k sa wala.,0
"Ang gandaaa sakto lang sakin yung sizes. First time ko magsusuot ng ganto, kasi sanay ako lagi na tshirt. Time to change fashion ganern hahahahha. Pero ang gaganda talaga ng damit pati yung tela kering keri teh. Madami pa ako nakasave sa cart hahahha, check out ko next.",1
Kala ko malakas sound nya mahina pala. tas umaalog pa cya,0
Namamatay matay Yung ilaw pero nagan nawawala konti diko Alam king bakit,1
Sayang lng Ang Pera ayaw tumunog. nagchacharge nman pero pag in on na Wala n nman tunog,0
"Hndi man lng maka full charge ng cp Loabat kagad itomg powerbank na to Yung seller di nag rereply Rider mainipin, umaalis. agad. kattawag lng pag labas. mo. wala. kagad, keso nagmamadali dw sya",0
Goods na goods ung phone and legit natagalan lang talaga sa shipping without any reason ambagal din mag reply ni seller puro automated chat pa diko gusto ung service nila pero sa deliver ok na siguro 1 week bago ko marecieve. Goods sa gaming Pati camera goods den Wellpacked naman sya,0
"Hindi siguro maiiwasang mayupi yung box, pero safe naman yung item.",1
"Oks naman ang balot, sa sobrang secure ng balot nya, parang ayaw na magpabukas. Oks naman ang product for me, kumpleto. Ang kaso mukhang naligo sa oil na pang makina bago isend saken. I bought numbers naman in other store pero walang oil yon. Medyo hassle lang. Pero product itself, its ok.",1
"Goods Naman pero Hindi siya malakas and yung driver hindi binigay sukli ko, tinawag ko siya pero Dere deretso lang siya umalis",0
Ang masasabi ko lang parang kagaya lang din ito ng ibang eyelash curler iba lang ng design sa mga luma,1
Ang liit pla payat n nga anak ko hindi kasya pang bata lang ang size niya hindi pwede sa teenager na tulad ng amak ko,0
"water proof nga will order again pag naubos ang ink from china pero bilis ng shipping at delivery usually mga order ko from china umaabot ng 2 weeks pero ito 1 week lng,",1
"Dali lng malowbat yung powerbank na inorder ko. Kahit full charge sya tapos gmitin mo, lwbt na agad.",0
"iba ang kulay na nasa pic, nagustuhan ko sya kasi dark color ang naka present sa picture pero in reality na parang natural lip lang ang datingan kahit paulit ulit ko nang inapply, try ko kapalan pero pero ganon parin very light color langnawala ung excitement ko na bumili ulit sa kimuse shop",0
"I really like it! 5 star! Very comfy sa paa. Yung material nya akala ko medyo matigas pero I was wrong, malambot parang mas malambot pa sa crocs. Sakto lang sa paa ko ang size 36- 37. Mabilis delivery. Thank you seller. PS. Ilang araw ko nang gamit pero malinis pa rin naman.",1
Maganda pagka a lot sulit yung haul na to. I love colpal products hiyang po boung family Maganda pagka a lot sulit yung haul na to. I love colpal products hiyang po boung family Maganda pagka a lot sulit yung haul na to. I love colpal products hiyang po boung family,1
Thank you so muchhhh! Napaka gaganda all in mga beh! Pabudol na din kayo hahahahaha ang Ganda as in! Thank you so so much po.,1
Ang ganda ang sharp nya nagustuhan siya ng anak ko yung stamp ang laking tulong talaga will order again soon bagay na bagay sa mga nag uumpisa palang matuto,1
Panget po ng mic napakahina. nakakadissapoint pero malakas ung speaker panget lang talaga ung mic,0
Nag chacharge ako umiinit sya di pwedeng matagalan masusunog ang charge ayyss Sayang pera,0
Grabe sa bubble wrap kung may 10 star irate q ng 10 to store n to safe un packaging. At ang bilis lng dumating thank u seller,1
Laggy onti pero kaya pa rin naman mag multi task and maganda os. Let' s see kung maganda performance in gaming terms.,1
Maganda nman. Kaya lng may dalawang white na Hindi masyado maliwanag. pero legit Naman talga,1
"Working lahat kaso 4 stars lang dahil yupi ang mga boxes, di presentable para iregalo and may isang cable na walang connectivity buti meron ako dito. Anyway, salamat seller.",1
Hndi tumutupad sa sinabi Ang seller pinapa bubble wrap lang d pa nabubble wrap nahulog nanga ng rider na daanan pa ng tricycle kawaj order ko ahahahhaha,0
"Ang binili ko plain bibigyan ako ng may printed. Tsaka ang pinili ko yung brown ang lens, bibigyan ako ng itim?",0
Okay Naman Yung shoes pero Yung box sira² na pag open ko and Yung lace manipis madali maputol pero okay Naman siya.,1
Hindi gumagana tried it to charge dyosko kakainis lang tagal ko pa naman hinintay to,0
"HONEST REVIEW: kinabahan ako nung dumating na yung item kasi hindi na maayos yung pagkabox niya eh fragile pa naman yung item at hindi pa naka bubble tsk. Risky ang packaging hindi nakakatuwa dahil seller din ako, working ng maayos yung isa pero yung isa ayaw umikot ng kabila so baka na damage dahil hindi maayos packaging. Anyway i hope ayusin niyo yan",0
Maganda naman ang item. price is what you get. medyo natagalan nga lang ang delivery. di dumating sa expected date.,1
Hang pangit pala. Napaka hina. Mas malakas pa hininga ko kesa dito haaaaaaaaah,0
"Medyo madumi nung dumating pero sobrang worth it siya sa price na 50php haha. Maganda yung material na ginamit. Hindi siya thin pero hindi rin siya thick, sakto lang. thanks seller, till next time. My dad and I are satisfied with the product.",1
Ang laki haha but im up to the challenge. Lagi kong nakakaligtaang uminom ng tubig kaya maganda to for me. Ang ganda din ng kulay at mukhang matibay,1
Medjo disappointed ako kase may stain sya or dumi kung ano bato pero ok naman very nice naman ang quality,1
Sayang okay na sana may isang lamp na may sira at kulang nang spike kaya di ko mailagay nang maayos. Kelangan pa magimprovise. Next time po paki check ng maiigi bago iship. Salamat,0
"Thabk you po, ito rin po binili ko last last year at nagustuhan ko naman po sya, ito na po ang gagamitin ko hanggang sa sunod, thank you shopee",1
mabilis ang delivery pero hndi ok ang item kasi may mga punit at butas ung cover at sira din un pang adjust ng upuan kusang bumababa pag umupo ko. so disapointed d na ko bbili ulit sa inyo,0
di sia recommended for plus size talaga maliit sia talaga may damage pa ung isang blouse kaya 2 star lang,0
"You get what you pay for. Ok naman ibang books, pero disappointed lang ako sa ibang bukas may kulang na page. Sobrang excited ko pa naman pero mura lang din kasi. Thanks seller,",1
Ok na ok sya. D ko lang magets yung cup na nagproprompt kung aning I big sabihin. Ayos!,1
"Thank you received ko na wlang damage at gumagana nmn d ko pa lng po, sna tumagal sya. thanks po",1
"sira yong packaging niya pero wala naman damage yonh product, maganda and worth it! thankyou seller!",1
Medyo malaki sya maganda at super chic nya then may mga free labels na yun ngalang matatangal na ata Thank you seller will order again,1
"Sobrang ganda, napaka talas at talim nya maganda nmn quality nya para s price nya",1
ok naman yung tv di lang masyado sa resolution pero for the price ok naman. photo not related.,0
Ok naman lahat kaso yung d umilaw agad. Parang may natanggal sa loob may tumutunog pag isishake tsaka xa gagana. Sana lang magtagal.,1
Magandaaa syaaa medyo mahina lng ung sound nyaaaa pero magandaa lightning nya overall 4star for me,1
Malambot sya mukha naman pong nagustuhan ng ate ko gusto nya kse magkaroon ng ganyan and bilis nya din dumating thankyou seller and kuya rider,1
Wag kayu dto bibili pota scammer to pota WALANG kwentang seller BWESIT ka sana mamatay kanalang pota mora nga pero sera naman ung mga hndi mag connect sa bluettoth. Sana hndi kayu dto mag bibili Ng mga items nya pota ka sayang lang Pera ko Sayu BWESIT ka,0
"Super ganda ng items, maliwanag sya, and super bilis nadeliver",1
"Mgaganda ok nman mga item, un nga lang toothbrush akla ko for adult, tsaka subra lambot, pero ok n sa price,",1
"Ang llapad ng blouse prang magkaiba s picture mganda xnda yong tela, kaso mlapad parang bagay s mga mtataba, sayang gagawan ko nlng ng praan pra masuot ang ganda sana thnk you parin s seller, at ky kuya raider Gobless po",0
Good for its price siya. Okay naman. Goods po ito. Nakakatipud ng gasul o superkalan o kung ano man yun. Natuwa nanay ko. Salamat seller.,1
"Received ko na po yung item, well packed po kaya walang leak. Thank you seller ang kuya rider na always nakangiti. Thank you po ulit.",1
Nag message nmn ako na assorted pag deliver sa akin same color lahat nakakabwezit talaga.,0
"Supperrrrrrrr salamat po, supperrrrr saya may freebies po si seller, well pack po pagkakarecive ko, maraming maraming salamat po, pangalawang order ko npo, oorder po uli ako,",1
Okay naman sya. Kaso lubog yung button nya bat ganon,0
"Okay naman, ingat lang kayo pag ilalagay nyo mabigat na phone. salamat seller",1
"Okay na siya for its price na 22 php! Cute siya. Hindi ko inexpect na ganyan iyong size niya. Goods na goods ang quality sa murang halaga. Kaso 4 stars lang kasi pinaasa ako ni seller. Tinanong ko siya if okay lang free nalang iyong bag tapos sabi niya okay daw. Yun pala, wala naman. Masakit.",1
Di ko nagustuhan packaging. Sayang yung mga natapon. Tapos medyo matagal konti delivery.,0
"Napaka ganda po ng phone. Ang kaso ko lang po sabi nung pag order ko may freebie na speaker kaso wala pero ok lang, ung phone naman ang importante. Infinix the best!",1
Parang mongol pencil lng din ang quality pro na mas mura. Oorder ak sa uulitin seller.,1
Ok nmn Kaso hnd nasunod ung gusto kung design na mask,1
"Good quality, madumi nga lang yung sa loob ng battery ng sony pero nagana naman lahat ng order ko. Sana tumagal ko sya magamit",1
Good for the price I can say na matibay gagamitin sya sa pag da- drive so hoping na matibay sya.,1
Mali ang pinadala nagmsg ako hindi rin nag rereply. Sana man lng sinasabi nyo kung hindi available ang gusto namen para makapi kami ng ibang style na gusto ng mga anak ko at sana man lang magkaiba ang kulay ng tumbler.,0
Ok sya kaso nahhirapan ako maglagay ng tubig lalo pag magisa.,1
"matagal na akong user ng human nature product kaya alam kong effective siya, but this is my first time na umorder sa shop na ito kasi nakita kong mas mura, and I was surprise sa packaging nial kahit one item lang kinuha ko. Thank you, seller",1
Nagustohan ng anak ko maganda ang product 100% salamat Hindi sayang ang Pera ko,1
"Hindi pa na try lowbat kc, change rating nalang pagnatry namin. Pero maganda ang quality nya Dapat naka lagay sa box",1
Thank you po ang bilis din po dumating. Oorder po ako ulit ang ganda wla ding damage kuhaan ko din si jowa at pamangkins ko po,1
bakit iba ang dumating sa order ko at basag pa ang speaker,0
"DON’ T EXPECT MY IN LAW ORDERED IT, ITEM’ S NOT CLOSE ENOUGH SA PICTURE NA NAKALAGAY, too bad di kami nakakuha ng onhand pic bago orderin",0
"Hnd sya gumagana madali lng ma lowbat kahit hnd Pa Ginagamit chenarge ko sya ng buong gabe pru hnd parin, sorry seller,",0
Wag kau bumili dito. Ndi makontak Ang seller pag irereturn Ang item Ndi kompleto Ang detail Ng seller kaya no way na maibabalik nyu Ang item pag Dumating sa inyu na damage IGNORED na kau after bumili. 4 days ko chinachat until ma expire in 5 days return ko. Kung ok sa inyu take the risk. Buy here I buy 5. 5ft 6step ladder. Delikado kasi pag bumigay habang ginagamit. Gudlak Antagal Dumating more than 1 week,0
"Hindi gumagana ung isang piece, pwede b ibalik or palitan",0
ang cute beh and very easy to clip on or ano man tawag dun basta ang cute and like madadala mo kahit saan nakalimutan ko na yung word pero basta ang cute will order again soon pic n vid not related),1
ayos naman sya nagkaproblema lang nung una sa netflix kasi ayaw nya magstart tas ayun nood sa yt gumana naman. salamat gumagana naman sya at malinaw. mabilis din ang delivery edit: nagkakaroon lng ng problema sa connection ng internet nawawala wala sya kahit mabilis naman net namin,1
Nakita ko to sa tiktok and nagorder agad. okay naman pero nakakadry ng lips? pero atleast di ka maputla lol. okay yung shades niya!,1
Well pack but Ang Dali nmang masira Isang beses lang ngamit sira na,1
thank you nareceive ko na siya. All in good condition naman. Order ulit ako soon hehe salamat uli seller. Maayos din packaging,1
Sayang sa pera at oras. Alam naman na basag ibebenta pa. Karmahin sana kayo.,0
Nadissapoint ako Kasi sobrang nipis ng white although Tama yung kulay sa order ko pero Hindi Siya stretchable ang sikip sa braso,0
Grabe 16% lang inabot sa full charge nya. nag empty na agad. So disappointed po. Buti nlng talaga hindi xa costly. Tried buying 2 for testing kasi marami sana kaming bibili dito sa compound for the next order.,0
mabilis madeliver 2- 3 days kaso maling color yung dumating blue yung order namen black yung mabigay samen tas sabog na sabog yung speakers,0
Galing niya for the price. Very worth it. Tuwang talaga si baby namin. For sure bibili ulit soon. Maganda siya gamitan ng remote. Sana magtagal ang tires since depende parin naman sa pag gamit kasi plastic lang siya.,1
"Actually okay yung item, maganda siya. Medium to large ako pero kasya sakin. I gave 2 stars because of the packaging. Wala man lang sariling plastic yung damit, basta na lang siya pinack. Lukot lukot, kala mo sinuot muna bago ishipped out. Oorder pa naman sana ako ulit. No pic kase nilabhan ko agad.",0
Masyadong mahal e sobrang nipis ng tela manipis pa sa spandex.,0
Dlawa inoorder q pero d Po gumagna prehas ung ung Isang kpares nila,0
Akla ko malaki na at sakto sa akin kya nga xxl inurder kong size for sure pero nadismaya ako maliit pa at btin at ung tatak n nike natanggal kaagad,0
"When i opened the parcel, yng shampoo is not puno"" Sayang di puno. Medyo dismayado ako. 4 lang rate ko.",1
Ito yung poor quality sa lahat ng binili ko. Manipis yung material.,0
"Sobrang solid ng tripod, Large size, mafifeel mo talaga yung tibay at kunat kaya kulang ang 5 star dito however, yung inorder ko ring mic, para sobrang hina to not working na talaga kaya 0 star for it. Huhuhu pero ayos lang kasi 25 lang sya pero mas maganda sana kung maayos lahat.",0
Okay naman mga item except in this one. Basag yung slamin. Naihagis ba ito ng j& t Salamat sa seller na mabait ngsend photo bago ipadla.,1
Di po fit sa hexagonal ang butas. Yong isa ay may kulang sa ibabaw na kalang.,1
Maganda nman sya gamitin Pero need talaga mag prepare ng ibang battery kasi kapag ma lowbat my resirba.,1
expectation vs reality talaga. kaya pala mura kasi subrang mura pala ang quality nya. not recommend this product ma didismaya lang kayo,0
Nag order ako ng 9 items sabay2 kc nagtrust ako sa seller peru yung mouse nila walang mini reciever ndie ako nka video kc yung cp ko lowbat at that time nag send ako ng picture ayaw pa maniwala 9 na nanga order ko yung mouse lang ang problema. Tssskkkkk,0
Maliit po ang inyong size pwedi po pakilaki sa susunod yung bibilhin niyo ako napo nagsasabi salamat po sobra ganda po sulit po sa price,1
Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay,1
"honest review* This is my 2nd time na mag- order here. i ordered color black before and nagtagal din sya and now tinry ko naman diff colors and af first medyo na- disappoint kasi yung blue and red parang minadali lang, i mean may mga stitches na hindi naputol and hindi maayos pagkakatahi and ma",1
"sorry 1 star lng bigay ko, madaling malobat talaga, at hindi nka pag full charge sa cp ko kahit 3020mah lng. na scam ako sa inyo. mariosep ninyo,",0
Di tulad dati makapal Napaka nipis neto sayang lang pera ko,0
"manipis ung tela at hindi maganda ung tahi, nagkapunit agad pagkasukat pa lang ng anak ko",0
Pwde na Kya lang madali pala mabasag yan d pala yan parang telmos Yung loob kalako ganun yan. nagkamali pala ako. glass po pala. anyway thank you na din po sa seller and sa rider,0
Ok nmn ung pagkadeliver s akin kya lang hnd nmn gumagana sobrang nakakadismaya ung tama ka nmn magbayad tpos hnd nmn gumagana ung inorder mo umayos nmn kyo ayos ako magbayad nakakainis,0
2 violet na stand fone order ko ung bnigay nio 2 black ang layo ng kulay sos Pru di bali dto na e. Ska lalong mhirap pg bnalik ko pa hirap mgprocess.,0
"A good buy here, matibay talaga, buy 1 take 1 plus may free zip ties pa, sakto para sa fence so we have privacy. Weeks ng naka install pero hinde nasira or natanggal sa lakas ng hangin. Thank u",1
Nagtaka lang ako iba yung packaging niya compared sa meron ako. Mas dark kaya akala mo nagbago ng laman. Pero mukang same lang siya pag ginamit na.,1
Order kayo dito guys mas mura compare sa hardware maganda ang quality at kumpleto ang delivery salamat seller.,1
"kaalis ko ng bubble wrap ng box, nangangamoy mabango, tama hinala ko na nag- leak yung laman ng shampoo. hay im very disappointed. naka- tape nga pero nag- leak pa rin, tho di naman ganun karami, pero naka open kasi yung shampoo. may freebie. pero nakakasad lang talaga.",1
Parang sinuksok lang basta sa lagayan ni seller jusme pero thank you na din dahil complete naman dumating saken and no damage.,1
"Less 1 star kasi di sya gaya nung unang order ko na di ako pinahirapan. Keyboard is lowbat, kaya need ko muna icharge bago macheck if gumagana ba. Netflix is need pa nya iresearch sa yt pano pagaganahin kasi need nya apk, ung una kasi plug and play na sya. I' ll update my review if ok na.",1
Mabilis mag low charge 3- hrs lang nagagamit sa gabi. Kahit magdamag na ito na charge sa init ng araw. Sorry seller but it’ s true.,0
"Sana i- check niyo muna po yung mga products nyo bago nyo po i- ship kasi yung sa akin po grabe po yung dent, but the box is in good condition. Nakakapagtaka lang and the seller is also unresponsive.",0
nakaka dismaya tignan may mga crock Kasi Sana Manlang bago nyo ipadala siguradohing nyong walang damage,0
Poor quality. natanggal agad ung spring nya. tinatry palang namin cya can,0
Ayos nmn gumagana at tama ung haba kaso lng palyado yang nasa pic. Reresolbahin ko pa.,1
maganda sana sya kaso hindi tugma yung size. pareho lang ka laki yung medium at large,1
Maganda kasi sobrang safe nung item kasi naka sealed at may nakalagay talaga na fragile. so so lang yung itemall in all ok naman sya,1
"AYAW NIA MAGCHARGE. BRANDNEW BA UNG DINELIVER NIU? PAG MY ORDER ANG BIBILIS NIU PERO PAG MY CONCERN N UNG BUYER AYAW NIU MAGREPLY. PAKIAYOS NMN PO ITO BAKIT GANITO ANG MAHAL MAHAL NG ITEM TAPOS GANITO NDI MAPAPAKINABANGAN. MAAWA NMN PO KAYO. RETURN KO NLNG SIYA AT MKKIREPLY PO. SALAMAT,",0
Sa mga nagbabalak omorder please wag na kayo omorder. Unang gamit palang namin lag na agad yung item pero hinayaan namin kase baka nagloko lang pero 6days palang namin ginagamit sira na agad ayaw na mag open grabe bulok ang item tas ayaw ng ipabalik ng seller sayang lang ang pera nyo. Ang dami nadin nilang buyer na naperwesyo kase bulok ang item.,0
Good product. Nag aalinlangan pako nung una kasi may iilang bad review pero okay naman sya. no dents and gumagana ng maayos. 2 days na sya na ka on at walang problema.,1
"White inorder ko yellow dumating, nag chat ako kay seller 2 days ago wala pa ding respond.",1
Passs hindi dinodouble check ang sizing mema bigay lang pero goods yung isa etong converse lang ang wrong size 37 inorder 41 dumating awit,0
"May konting mishap pagtahi. May dumi din sa harapan. Kita naman sa photo. Hindi naman nakaapekto sa quality ng wallet. Hindi genuine leather, given na yan sa presyo. Pero ang ganda ng item. Walang bubble wrap pagka pack. Buti na lang hindi J& T. Paki check lang sa susunod, kung may dumi ang item.",1
Well packed nman cxa hndi pa nkikita ng asawa ko hope OK lang sa knya,1
Delivered done but ang seller not good ang nkalagay 6pcs ang dumating sa akin 2pcs. Lng kainis oi,0
nakaka dissapoint! kung wala kayong stock ng speakers wag kayong magpopost na may ganun kayo shuta anong gagawin ko dyan sa mini keyboard na yan napaka layo nyan sa speakers? sayang pera sainyo. tigilan nyo panloloko ng mga buyers,0
"Sobrang bad ng quality ng photos. Sana man lang sa 7 days ininform ako na malabo yung quality photos sa shopee chat para naman nag- gmail ako or gdrive nalang ako. Sa 7 days nayon walang update man lang. Aware naman ako na nakaprint lang siya parang instax talaga pero yung gamit ay photo paper kaya if ever pag- isipan niyo muna buyers. Binili ko yung with gift box para lagyan ng photos kasi yes it' s cheap and nandun na, hindi ko magamit dahil sa Sticker na nilagay niyo sa gitna. Wag niyo na sana isama iyon don sa choices kung ipropromote niyo lang din naman yung sa box na dapat lalagyan ng photos bayad siya eh pero bat may ganon? You guys took your time pero grabe sobrang bad ng lahat buti pa yung delivery bumawi. Narurush tuloy ako sa nangyari. Yes I get it mura and nagtiwala ako sa services ninyo kasi akala ko katiwa- tiwala yung reviews.",0
"Napakaliit ng fan niya tulad halos sa exhaust ng pc motherboard) Di talaga nakatulong kahit ibuga ko na sa mukha ko ng may mist at ice pa. Nagkaroon pa ng leak na di malaman paano buti di nabasa laptop ko sa work o yung pc ko. Bihira ako magbigay ng review especially a bad one) pero honest feedback lang talaga, my fault for seeing if this could help a bit.",0
Yung looks nang sapatos is parang old stock na. Yun lang. Thanks!,0
It works very well. I hope magtagal sa akin. Super maganda. Hindi maingay kapag clinick. Smooth and also mabilis yung move ng cursor.,1
Ganda Po ng item makapal Po Siya I will order again,1
Thank you seller nice item and no damage pero akala ko po meron siyang free gift pero wala po pala at Isa din yon sa rason bakit ako bumili ng item nyo but thank you,1
Napaka liit. saka sira may punit sa gilid paki ayos naman po nagbabayad naman kami ng ayos ehh,0
Bakit sa likod ang umpisa. Tabingi din yung cover naputol yung first word. Pixelated din ang cover,0
Super ganda. Ikatatlo ko nang order thank you so much seller. sulit na sulit talaga pera nyo Dami gumagamit kasa pang ML,1
